id,title,description,city,location,propertyType,bhkType,bedrooms,bathrooms,sqft,yearBuilt,currentPrice,appreciationRate,imageUrl,images,isActive,createdAt,updatedAt,scrapedAt,source,sourceUrl
c91109c7-2f90-4f46-8780-e181503e8d2b,"5 BHK Flat for Sale in Motiaz Harmony Greens, Zirakpur, Chandigarh",5BHK+ apartment in Motiaz Harmony Greens.,Chandigarh,Motiaz Harmony Greens,apartment,5BHK+,5,4,2250,2021,16600000,5.1,https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/09/26/Project-Photo-8-Motiaz-Harmony-Greens-Chandigarh-5290285_572_800_310_462.jpg,{https://img.staticmb.com/mbimages/project/Photo_h310_w462/2024/09/26/Project-Photo-8-Motiaz-Harmony-Greens-Chandigarh-5290285_572_800_310_462.jpg},t,2026-06-05 14:46:35.666,2026-06-05 14:46:35.666,,magicbricks,https://www.magicbricks.com/motiaz-harmony-greens-zirakpur-chandigarh-pdpid-4d4235323930323835
e4585b64-fd87-41d8-af68-a45f236d3cfb,"3 BHK Flat for Sale in Lig Flat, Sector-49, Chandigarh",3BHK apartment in Lig Flat.,Chandigarh,Lig Flat,apartment,3BHK,3,2,1500,2021,28000000,5.1,"",{},t,2026-06-05 14:46:35.666,2026-06-05 14:46:35.666,,magicbricks,https://www.magicbricks.com/lig-flat-sector-49-chandigarh-pdpid-4d4235313037383531
1b0eb59d-2658-4271-9c8f-662103b16b07,"3 BHK Flat for Sale in IRWO Rail Vihar, Zirakpur, Chandigarh",3BHK apartment in IRWO Rail Vihar.,Chandigarh,IRWO Rail Vihar,apartment,3BHK,3,2,1250,2021,4990000,5.1,https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_1_PropertyImage37-35636524774111_470_1080.jpg,"{https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_1_PropertyImage37-35636524774111_470_1080.jpg,https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_1_PropertyImage853-8404135491922_470_1080.jpg,https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_1_PropertyImage623-8151772444274_470_1080.jpg,https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_6_PropertyImage28-5537584794342_470_1080.jpg,https://img.staticmb.com/mbphoto/property/cropped_images/ver2/XIwvQlc61t8ZIpanz4mAnTVK48w9dMh31fC4_9g-OpzlI0BJBQ-w/Photo_h470_w1080/84914231_7_PropertyImage562-267426353426_470_1080.jpg}",t,2026-06-05 14:46:35.666,2026-06-05 14:46:35.666,,magicbricks,https://www.magicbricks.com/irwo-rail-vihar-zirakpur-chandigarh-pdpid-4d4235333133313733
c65a8d65-afd2-49d5-be1d-c31d1754af61,"1 BHK Flat in Beas, Amritsar","Spacious room, 20mins away from station, 2minutes away from well connected national highway",Amritsar,"Satguru Sadan, Model Town, Amritsar Beas",apartment,1BHK,1,1,450,2021,1100000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://imagecdn.99acres.com/media1/16010/5/320205896M-1775932555420.jpg,https://imagecdn.99acres.com/media1/16010/5/320205892M-1775932555416.jpg,https://imagecdn.99acres.com/media1/16010/5/320205888M-1775932555485.jpg,https://imagecdn.99acres.com/media1/16010/5/320205902M-1775932555433.jpg}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-beas-amritsar-578-sqft-r4-spid-H58610138
9c6875c9-094c-4c84-a14d-a71c2281314e,"3 BHK Flat in Manawala, Amritsar","This 3 bhk flat on the 2nd floor of a 3-Floor low-Rise building in aipl dream city, manawala, amritsar offers 1250 sq.Ft. Of living space. With 3 bedrooms and 3 bathrooms, the 10+ year old residential property is available for immediate sale, providing a practical layout with unfurnished interiors.",Amritsar,Aipl Dream City,apartment,3BHK,3,2,1350,2021,7000000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://imagecdn.99acres.com/media1/36924/3/738483278M-1775454143043.jpg,https://imagecdn.99acres.com/media1/36924/3/738483474M-1775454161569.jpg,https://imagecdn.99acres.com/media1/36924/3/738483534M-1775454165638.jpg,https://imagecdn.99acres.com/media1/36924/3/738483548M-1775454166466.jpg}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aipl-dream-city-manawala-amritsar-1250-sqft-spid-B90098012
5b56b36f-5725-4ad5-84f3-f4447e24a28a,2 BHK Flat in New Amritsar Colony,"This beautiful 2 bhk flat in new amritsar colony is situated in mig flats, one of the popular residential society in amritsar. Constructed on a carpet area of 600 sq.Ft., the flat comprises 2 bedroom(s), 1 bathroom and 1 balcony. This flat lies on the top level of a 2 storey building. As the project is already ready to move, so you can easily move into this 10+ years old property. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look. Another plus point for this is that it is situated near close to metro station, close to school, close to hospital and close to market. Many of the modern amenities being offered, like visitor parking and park, will provide a pleasant living experience for you. Municipal corporation provides a regular supply of water to this residential project.",Amritsar,MIG Flats,apartment,2BHK,2,1,900,2021,2000000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://imagecdn.99acres.com/media1/32888/0/657760595M-1766935009908.jpg,https://imagecdn.99acres.com/media1/32888/0/657760903M-1766934971461.jpg,https://imagecdn.99acres.com/media1/32888/0/657760907M-1766934980419.jpg,https://static.99acres.com/universalapp/img/downArrowNew.png}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mig-flats-new-amritsar-colony-amritsar-600-sqft-spid-C85760408
22f56fda-e5a1-460c-8427-9494f4be1184,"2 BHK Flat in Shubham Enclave, Amritsar","Key features of the township Green & open spaces Landscaped parks and walking tracks Kids play area for families Peaceful environment with fresh air Fitness & wellness Fully equipped gym Jogging / cycling tracks Yoga & meditation spaces Modern clubhouse Clubhouse with indoor games Party hall for events & celebrations Community gathering spaces Convenience & comfort High-Speed lifts in every tower 247 water & power backup Ample parking space Safety & security Gated township with security guards Cctv surveillance Intercom facility Daily needs nearby Shops / convenience stores within or near township Easy access to schools, hospitals & markets Perfect for families Safe, social, and well-Maintained environment Ideal for working professionals & small families",Amritsar,Atm Estates Amritsar One,apartment,2BHK,2,1,900,2021,5400000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/star_fomo.svg,https://static.99acres.com/universalapp/img/noImageBgPremium.svg,https://static.99acres.com/universalapp/img/checkLineGray.svg,https://static.99acres.com/universalapp/img/downArrowNew.png}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-atm-estates-amritsar-one-shubham-enclave-amritsar-1299-sqft-spid-R89700962
b0e08179-5b94-4a44-863a-7094b79180c1,2 BHK Flat in New Amritsar Colony,"Located in mig flats, new amritsar colony, this 2 bhk flat spans 580 sq.Ft on the ground floor of a low-Rise, 3-Floor building. With 2 bedrooms, 2 bathrooms, and 5-10 years old, its available for immediate sale. The apartment is fully furnished, offering a neat layout and convenient access within a well-Established neighborhood.",Amritsar,MIG Flats,apartment,2BHK,2,1,900,2021,2600000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/downArrowNew.png}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mig-flats-new-amritsar-colony-amritsar-580-sqft-spid-E89672804
ed0d1210-18ca-4fc0-a758-96862e1f8c03,"2 BHK Flat in Housing Board Colony, Amritsar","This furnished 2 bhk flat on the 2nd floor of a low-Rise building in housing board colony, amritsar offers 990 sq.Ft. Of comfortable living space. With 2 bedrooms and 2 bathrooms, it includes air conditioning, parking, and full power backup. Close to schools, market, hospital, and the railway station, its available for immediate sale.",Amritsar,Hous,apartment,2BHK,2,1,900,2021,4500000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/downArrowNew.png}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-housing-board-colony-amritsar-990-sqft-spid-L88495766
71ebf56d-a65b-406a-9ed3-8662d2bbf8f6,"2 BHK Flat in Batala Road, Amritsar","Ready to move , 2 bhk flat situated at batala road near suncity park. Amritsar.",Amritsar,GOLDEN GREEN TOWER,apartment,2BHK,2,1,900,2021,5000000,5.5,https://static.99acres.com/universalapp/img/Shortlist.png,"{https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/noImageBg.svg,https://static.99acres.com/universalapp/img/downArrowNew.png}",t,2026-06-05 14:47:28.193,2026-06-05 14:47:28.193,,99acres,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-batala-road-amritsar-1140-sqft-spid-N90903332
